Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;
3,286616667;-165,9733194;0,029257787;-0,09331935;;;;
3,3033;-165,9276335;0,045685807;-0,047633543;;;;
3,319983333;-165,9475611;-0,019927588;-0,067561131;;;;
3,336666667;-165,8542521;0,093309023;0,025747891;;;;
3,35335;-165,9380854;-0,083833243;-0,058085352;;;;
3,370033333;-165,9012704;0,036814962;-0,021270389;;;;
3,386716667;-165,9578426;-0,056572191;-0,077842581;;;;
3,4034;-165,9002278;0,057614735;-0,020227846;;;;
3,420083333;-165,9486739;-0,048446042;-0,068673889;;;;
3,436766667;-165,9244684;0,024205466;-0,044468423;;;;
3,45345;-165,9442153;-0,019746844;-0,064215266;;;;
3,470133333;-165,9218304;0,022384823;-0,041830443;;;;
3,486816667;-165,9632766;-0,041446118;-0,083276562;;;;
3,5035;-165,9261989;0,037077683;-0,046198879;;;;
3,520183333;-165,9141971;0,01200176;-0,034197119;;;;
3,536866667;-165,9222424;-0,008045256;-0,042242375;;;;
3,55355;-165,9245679;-0,002325561;-0,044567937;;;;
3,570233333;-165,948254;-0,023686021;-0,068253957;;;;
3,586916667;-165,9799797;-0,031725786;-0,099979744;;;;
3,6036;-165,9346304;0,045349343;-0,054630401;;;;
3,620283333;-165,9290302;0,005600194;-0,049030207;;;;
3,636966667;-166,0081035;-0,079073282;-0,128103488;;;;
3,65365;-165,9117408;0,096362642;-0,031740847;;;;
3,670333333;-165,9500902;-0,038349315;-0,070090162;;;;
3,687016667;-165,9442158;0,005874371;-0,06421579;;;;
3,7037;-165,9234477;0,020768069;-0,043447721;;;;
3,720383333;-165,9566304;-0,033182712;-0,076630433;;;;
3,737066667;-165,9189517;0,037678737;-0,038951696;;;;
3,75375;-165,9091631;0,009788642;-0,029163054;;;;
3,770433333;-165,9160589;-0,006895832;-0,036058886;;;;
3,787116667;-165,8760829;0,039975992;0,003917106;;;;
3,8038;-165,9493936;-0,073310667;-0,069393561;;;;
3,820483333;-165,9906341;-0,04124052;-0,110634081;;;;
3,837166667;-166,0044505;-0,013816405;-0,124450486;;;;
3,85385;-165,988317;0,016133512;-0,108316974;;;;
3,870533333;-165,9718972;0,016419774;-0,0918972;;;;
3,887216667;-165,9787338;-0,006836638;-0,098733838;;;;
3,9039;-165,9587951;0,01993878;-0,078795059;;;;
3,920583333;-165,9563775;0,002417584;-0,076377474;;;;
